,No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
357,358,HRL,22.56B,24.31,21.81,6.94,1.84,2.93,37.73,148.53,9.60%,8.67%,3.00%,3.50%,6.30%,41.27,-0.07%,3332910
358,359,HSBC,154.91B,6.99,-,0.33,2.69,0.82,0.12,-,19.40%,-,6.30%,21.00%,6.10%,39.18,0.33%,1701440
359,360,HST,12.17B,15.12,18.14,0.53,2.33,1.77,15.89,21.05,18.20%,-9.88%,2.70%,28.40%,-1.80%,17.05,-0.35%,9087653
360,361,HSY,53.32B,31.64,25.29,3.38,4.96,15.45,115.84,49.79,44.60%,8.22%,17.80%,9.36%,6.80%,260.72,-0.05%,1576480
361,362,HTHT,14.70B,-,25.29,-,6.68,8.27,11.55,-,-292.00%,26.90%,-16.40%,26.05%,11.00%,43.0,-2.89%,1796423
362,363,HUBB,17.20B,29.34,22.42,2.93,3.39,6.95,38.51,47.87,41.70%,4.24%,11.70%,10.00%,6.20%,320.38,-0.20%,828246
363,364,HUBS,25.82B,-,85.63,-,14.05,24.52,17.39,142.23,-41.30%,25.39%,-62.10%,39.30%,35.70%,519.32,-0.13%,720542
364,365,HUM,57.96B,18.11,13.90,1.33,0.61,3.36,4.22,6.09,-2.60%,13.14%,4.50%,13.60%,11.60%,445.65,-3.92%,5292762
365,366,HWM,19.03B,39.84,22.03,2.37,3.2,5.11,35.43,41.91,88.50%,22.91%,28.10%,16.80%,-15.30%,45.98,-0.13%,2976300
366,367,HZNP,23.16B,64.08,14.82,12.82,6.48,4.56,10.02,21.97,-2.30%,29.87%,23.20%,5.00%,28.00%,101.63,0.32%,2796558
367,368,IBKR,34.23B,18.15,13.52,0.89,6.64,2.75,10.65,42.15,15.70%,2.98%,1.00%,20.35%,17.40%,80.28,-0.82%,962595
368,369,IBM,125.67B,66.90,13.78,21.58,2.07,5.77,7.23,41.86,-60.30%,6.32%,-29.90%,3.10%,-5.20%,137.48,-0.66%,7468309
369,370,IBN,79.13B,19.56,18.44,0.92,5.35,3.19,4.63,-,32.10%,14.80%,17.50%,21.30%,9.40%,22.87,0.00%,6173247
370,371,ICE,62.92B,43.39,18.57,7.43,6.52,2.69,30.41,29.79,-64.10%,9.59%,-2.80%,5.84%,10.50%,111.68,-0.62%,3803685
371,372,ICLR,19.14B,37.86,16.11,2.77,2.45,2.21,67.97,52.78,172.30%,15.26%,3.00%,13.67%,34.50%,234.12,0.21%,551071
372,373,IDXX,39.96B,58.13,43.62,3.73,11.65,47.68,358.72,87.69,-6.70%,14.25%,19.60%,15.60%,11.30%,483.03,0.33%,706647
373,374,IEP,10.57B,-,24.51,-,0.85,2.57,2.08,-,75.60%,1040.00%,-15.50%,-,6.20%,27.94,-2.38%,3081634
374,375,IEX,15.90B,27.12,23.22,2.26,4.85,4.91,31.14,43.49,31.30%,6.45%,12.10%,12.00%,6.80%,209.75,-0.31%,872664
375,376,IFF,20.28B,-,14.34,-,1.66,1.15,34.37,-,-764.20%,19.27%,-27.30%,3.43%,29.60%,80.35,1.07%,5049504
376,377,IHG,12.08B,34.64,-,2.41,3.1,-,12.38,38.48,42.50%,-,-3.30%,14.40%,-0.90%,71.23,-0.45%,90758
377,378,ILMN,33.19B,-,64.76,-,7.46,4.86,21.86,-,-655.90%,134.61%,-46.50%,-,10.70%,205.87,-1.94%,2441990
378,379,IMO,29.25B,5.64,5.62,-,0.5,1.64,17.24,8.35,-25.30%,11.72%,38.73%,-9.95%,-,49.73,-0.66%,424380
379,380,INCY,13.96B,43.67,13.50,2.91,4.02,3.16,4.49,24.24,-64.40%,39.74%,24.50%,15.00%,17.20%,63.23,1.04%,8439018
380,381,INFY,64.97B,22.52,19.30,1.52,3.63,7.13,28.03,-,9.80%,6.50%,10.10%,14.80%,15.80%,15.83,1.34%,18245147
381,382,ING,47.91B,9.10,6.94,0.68,1.51,0.86,0.15,-,-17.40%,20.60%,-4.30%,13.30%,-8.40%,13.4,0.30%,2432514
382,383,INTC,149.41B,-,20.78,-,2.65,1.54,5.43,-,-60.00%,345.29%,-8.90%,6.03%,0.10%,36.37,1.54%,110103134
383,384,INTU,127.80B,57.50,28.71,3.55,9.08,7.27,29.94,37.58,-3.70%,11.24%,14.00%,16.22%,19.60%,455.03,-0.28%,2618104
384,385,INVH,21.01B,51.34,47.06,3.94,9.15,2.06,64.60,-,38.90%,6.56%,34.40%,13.04%,16.20%,34.4,0.17%,4749352
385,386,IOT,15.35B,-,781.08,-,21.5,16.51,21.15,-,31.50%,300.00%,-,-,-,28.9,-0.52%,8777117
386,387,IP,11.04B,7.48,12.67,0.39,0.53,1.33,-,60.33,129.50%,4.60%,17.40%,19.20%,-0.50%,31.98,0.53%,7097952
387,388,IPG,15.67B,17.40,12.83,2.60,1.44,4.34,9.34,299.60,-0.70%,6.44%,11.20%,6.70%,3.80%,40.04,-1.36%,6230899
388,389,IQV,40.22B,38.78,18.07,3.36,2.78,6.77,25.17,26.67,15.50%,14.78%,32.60%,11.55%,8.20%,216.02,-0.35%,1181617
389,390,IR,26.18B,40.91,21.82,3.85,4.22,2.8,23.39,30.68,16.20%,9.15%,57.80%,10.63%,20.00%,64.52,-0.29%,4460532
390,391,IRM,16.67B,28.67,28.52,4.41,3.22,30.35,113.86,-,23.10%,12.18%,24.20%,6.50%,5.80%,56.76,-0.70%,2379242
391,392,ISRG,115.03B,90.16,51.27,5.65,17.89,10.28,23.84,114.14,-21.60%,17.38%,5.20%,15.96%,14.70%,329.36,0.33%,3109805
392,393,IT,28.15B,30.77,32.03,6.69,5.01,59.92,31.51,28.54,8.20%,10.56%,78.00%,4.60%,10.60%,356.54,0.10%,1345885
393,394,ITUB,53.98B,9.20,7.56,0.75,1.24,1.62,0.24,2.08,10.70%,11.40%,5.00%,12.30%,5.50%,5.9,0.00%,18295547
394,395,ITW,75.00B,24.81,23.94,6.12,4.68,24.41,65.62,101.08,14.70%,7.16%,7.60%,4.05%,2.20%,247.99,0.48%,2186397
395,396,IX,22.30B,10.84,-,0.77,1.17,0.87,2.29,-,-10.80%,-,-1.10%,14.00%,-1.40%,89.33,-1.36%,109609
396,397,J,14.74B,19.30,13.89,1.90,0.95,2.32,-,75.80,59.40%,14.16%,28.80%,10.15%,18.70%,116.57,0.29%,1273237
397,398,JBHT,18.34B,20.07,18.49,2.08,1.26,4.83,348.62,164.46,29.00%,13.81%,0.50%,9.67%,15.60%,176.68,-0.14%,986858
398,399,JBL,13.88B,14.83,11.33,1.33,0.39,5.27,11.57,34.80,50.70%,9.36%,58.30%,11.15%,11.90%,105.36,0.69%,2298166
399,400,JCI,45.04B,32.54,16.11,2.08,1.73,2.83,22.81,346.48,4.40%,13.74%,25.20%,15.68%,2.10%,65.47,-0.27%,3935136
400,401,JD,62.61B,22.97,11.65,0.99,0.42,2.11,2.26,11.23,384.80%,17.50%,139.90%,23.12%,23.60%,39.85,-0.28%,11044925
401,402,JHX,11.94B,23.94,-,5.57,3.16,7.58,105.68,-,11.60%,-,27.60%,4.30%,13.00%,27.51,-0.72%,33427
402,403,JKHY,12.05B,34.23,30.73,4.69,5.95,7.75,453.05,182.04,20.00%,9.46%,11.00%,7.30%,7.00%,163.54,-1.11%,732858
403,404,JNJ,425.49B,34.36,14.92,7.91,4.42,6.04,17.29,97.37,-13.70%,3.27%,5.30%,4.34%,4.40%,164.23,0.31%,13397390
404,405,JNPR,10.43B,21.35,12.56,1.80,1.9,2.36,9.5,-,87.60%,9.95%,-1.60%,11.86%,1.10%,32.47,0.09%,6112114
405,406,JPM,418.15B,10.57,10.24,-,3.66,1.54,0.27,16.18,-21.30%,-3.97%,12.10%,-4.33%,7.70%,143.26,0.12%,13797886
406,407,K,22.60B,27.22,15.38,8.18,1.44,5.59,65.13,92.25,-35.60%,4.92%,-5.00%,3.33%,3.60%,66.29,0.53%,3914303
407,408,KB,15.27B,4.47,3.96,0.48,0.83,0.34,0.18,-,-1.70%,3.80%,5.30%,9.40%,11.80%,37.97,-0.94%,196184
408,409,KDP,44.58B,34.67,16.79,5.53,3.11,1.8,218.55,57.45,-33.20%,7.52%,-25.00%,6.27%,16.00%,32.17,1.29%,15542447
409,410,KEYS,29.50B,25.22,19.18,2.97,5.28,6.24,11.81,24.42,29.20%,5.14%,61.60%,8.51%,11.20%,164.86,-0.33%,1926856
410,411,KHC,45.25B,18.85,12.23,4.05,1.68,0.92,54.78,-,204.40%,4.42%,-9.80%,4.65%,0.30%,36.99,0.33%,12246357
411,412,KIM,12.01B,80.04,29.79,-,6.89,1.24,36.49,-,-90.00%,-26.79%,-28.90%,-,7.50%,19.45,0.36%,4544902
412,413,KKR,50.58B,-,11.90,-,5.75,2.66,5.45,-,-116.90%,35.47%,-20.80%,11.81%,11.90%,57.2,-2.41%,4647441
413,414,KLAC,64.84B,18.96,22.48,3.15,6.1,23.89,22.43,26.11,63.90%,-15.50%,30.10%,6.02%,21.50%,464.89,-1.63%,2010679
414,415,KMB,45.99B,23.57,19.54,2.56,2.27,64.64,87.77,61.08,6.80%,14.29%,-1.60%,9.19%,1.90%,137.68,1.00%,2592967
415,416,KMI,38.12B,15.08,14.24,-,2.03,1.24,91.64,38.90,43.70%,8.03%,32.40%,-6.40%,7.00%,17.04,0.18%,24016493
416,417,KMX,12.79B,26.39,23.06,1.60,0.43,2.24,40.63,14.86,-56.50%,42.80%,-3.70%,16.50%,11.60%,79.63,-1.51%,2313502
417,418,KO,264.79B,27.17,21.95,4.55,6.09,10.58,18.52,82.72,-2.60%,7.75%,14.30%,5.97%,3.50%,61.67,0.72%,26713400
418,419,KOF,18.56B,15.80,14.89,2.93,1.36,2.77,7.3,-,21.20%,15.90%,25.80%,5.40%,4.40%,88.14,-0.23%,85541
419,420,KR,32.97B,14.46,10.21,1.81,0.23,3.29,32.48,27.02,40.70%,0.24%,23.40%,8.00%,3.90%,46.17,0.50%,10573424
420,421,KVUE,49.31B,39.18,20.51,26.47,3.24,2.48,29.16,-,2.80%,2.40%,-,1.48%,-,26.25,1.94%,2332994
421,422,L,13.41B,13.29,-,0.95,0.93,0.95,22.58,4.70,-31.40%,-,7.60%,14.03%,0.50%,58.57,-0.46%,2987355
422,423,LBRDA,11.25B,11.59,9.61,0.34,11.44,1.30,77.57,-,102.40%,43.09%,-0.80%,33.78%,136.80%,76.27,-0.65%,93636
423,424,LBRDK,11.19B,11.61,7.66,-,11.38,1.31,-,-,-5.70%,33.20%,96.40%,-,-,76.6,-0.53%,974997
424,425,LCID,13.23B,-,-,-,18.9,3.27,4.44,-,48.00%,19.30%,-,-,-,6.48,-1.67%,44962025
425,426,LDOS,11.69B,17.64,11.68,2.69,0.8,2.67,30.85,25.58,-5.70%,12.02%,24.90%,6.55%,7.20%,85.89,0.76%,2760421
426,427,LECO,11.29B,24.50,20.45,2.71,2.91,10.03,56.79,43.88,74.60%,6.82%,14.20%,9.05%,7.50%,195.93,-0.08%,666014
427,428,LEGN,12.15B,-,-,-,117.63,17.74,14.27,-,2.10%,14.90%,-,-,37.70%,70.07,-1.66%,897357
428,429,LEN,38.39B,7.59,9.06,12.65,1.14,1.41,9.05,13.83,10.30%,7.25%,36.00%,0.60%,21.60%,120.02,0.18%,4573885
429,430,LEN-B,38.50B,6.57,-,-,1.14,1.22,-,-,-,-,-,-,-,105.72,1.39%,161741
430,431,LH,20.43B,21.29,12.56,-,1.38,2.00,51.86,19.10,-42.70%,10.47%,15.40%,-0.07%,7.60%,234.27,1.61%,1053862
431,432,LHX,36.64B,40.66,14.73,35.67,2.1,2.03,67.22,27.44,-39.60%,8.04%,-0.50%,1.14%,22.60%,195.57,1.13%,1772134
432,433,LI,35.80B,-,44.12,-,4.68,5.18,4.02,-,-497.60%,129.40%,-,13.87%,-,34.41,-0.15%,7234383
433,434,LII,10.96B,21.64,18.65,1.81,2.31,-,230.76,169.15,12.20%,9.58%,11.90%,11.98%,4.20%,311.04,0.74%,379364
434,435,LIN,184.30B,41.69,24.98,4.01,5.53,4.62,37.14,60.55,12.40%,9.01%,7.70%,10.41%,24.00%,375.29,-0.31%,4364364
435,436,LKQ,14.57B,13.04,12.44,0.39,1.14,2.55,42.61,26.79,12.30%,8.24%,22.30%,33.50%,5.60%,54.23,-0.53%,2631234
436,437,LLY,430.90B,71.08,36.61,2.91,15.56,36.05,117.43,3651.72,12.80%,40.08%,10.10%,24.42%,7.40%,447.71,-1.37%,4283691
437,438,LMT,116.05B,20.98,16.35,1.93,1.75,12.12,47.56,35.96,-4.80%,3.42%,10.80%,10.89%,5.70%,459.17,0.71%,1641733
438,439,LNG,35.76B,4.82,12.05,0.19,1.08,19.06,12.13,4.18,160.90%,-57.51%,160.30%,24.80%,42.90%,148.68,1.02%,1987540
439,440,LNT,13.51B,20.59,17.40,3.38,3.21,2.13,86.06,-,3.90%,6.85%,7.50%,6.10%,4.50%,53.74,-0.02%,2353284
440,441,LOW,128.29B,21.13,14.97,3.16,1.34,-,-,37.89,-15.50%,8.56%,19.80%,6.69%,7.20%,217.08,-0.85%,6855455
441,442,LPLA,16.62B,16.06,11.48,1.01,1.86,7.50,7.30,11.89,84.90%,8.16%,33.00%,15.92%,15.00%,208.98,-2.33%,918708
442,443,LRCX,83.42B,17.06,23.78,1705.79,4.42,9.83,15.54,27.19,21.80%,-22.35%,28.80%,0.01%,16.50%,612.65,-1.34%,2678036
443,444,LSCC,12.34B,62.48,36.06,4.17,17.78,23.64,110.09,57.88,88.40%,18.56%,33.30%,15.00%,11.30%,88.66,-1.10%,2997244
444,445,LSI,11.08B,30.22,26.38,6.04,10.28,3.09,337.82,-,33.00%,9.77%,25.00%,5.00%,14.40%,129.78,-0.34%,805307
445,446,LSXMA,30.69B,9.00,10.11,0.20,3.42,1.13,71.36,22.83,110.70%,0.39%,40.10%,44.12%,10.70%,30.9,0.10%,772486
446,447,LSXMK,30.28B,9.48,9.60,0.25,3.38,1.13,-,-,-14.50%,2.90%,15.54%,38.20%,-,30.91,0.39%,1140794
447,448,LULU,46.66B,51.24,27.91,3.05,5.49,14.68,49.09,78.96,-10.80%,15.07%,23.40%,16.81%,25.10%,383.02,0.10%,1802691
448,449,LUV,20.21B,34.53,9.05,0.61,0.81,1.98,1.73,-,-47.70%,41.25%,-24.70%,56.77%,2.40%,34.25,0.82%,8737060
449,450,LVS,44.83B,-,18.91,-,8.48,11.01,6.86,-,7.60%,60.82%,-20.00%,-1.75%,-20.20%,58.45,-0.36%,4881882
450,451,LW,16.72B,30.52,23.07,0.82,3.48,23.05,24.77,-,-36.30%,10.60%,-9.10%,37.10%,5.30%,114.34,-0.35%,1529063
451,452,LYB,29.85B,9.89,8.52,6.17,0.63,2.36,-,765.40,-29.50%,12.41%,3.00%,1.60%,7.90%,92.24,0.51%,4144097
452,453,LYG,37.49B,6.17,-,-,2.07,0.99,-,-,-3.40%,-,10.70%,-10.30%,2.00%,2.27,-0.87%,8564546
453,454,LYV,20.77B,135.20,64.46,-,1.15,-,2.97,-,120.90%,119.62%,23.40%,-,11.50%,90.18,-0.18%,3106510
454,455,MA,359.19B,37.61,25.83,1.85,15.74,67.36,51.55,43.76,16.80%,18.74%,18.00%,20.29%,12.20%,376.53,-0.66%,5886891
455,456,MAA,17.99B,27.28,33.29,3.90,8.68,2.91,126.30,-,19.00%,2.93%,14.00%,7.00%,5.70%,155.29,0.73%,1196027
456,457,MANH,12.02B,88.27,57.79,5.88,14.85,65.91,66.17,59.93,18.40%,15.32%,3.10%,15.00%,5.20%,191.81,-0.99%,711363
457,458,MAR,53.84B,20.65,19.33,1.30,2.43,391.91,97.19,25.31,116.90%,9.55%,6.00%,15.90%,0.30%,176.36,-0.18%,4717893
458,459,MAS,12.61B,15.61,14.74,4.56,1.49,-,24.72,21.52,124.40%,12.69%,23.30%,3.42%,7.60%,55.5,-0.93%,3486825
459,460,MBLY,32.01B,-,47.01,-,16.56,2.12,27.57,-,-8.50%,29.55%,-,17.63%,-,39.16,-1.43%,3679880
460,461,MCD,213.63B,31.52,24.24,3.78,9.12,-,57.61,150.60,-17.00%,8.97%,2.90%,8.35%,0.30%,293.7,0.37%,4885811
461,462,MCHP,46.56B,21.28,13.18,1.54,5.52,7.18,198.97,19.09,76.80%,2.72%,20.90%,13.80%,16.20%,85.49,0.14%,9202383
462,463,MCK,54.22B,16.20,13.47,1.44,0.2,-,11.59,11.34,245.10%,13.40%,53.40%,11.22%,5.80%,406.2,1.53%,1488747
463,464,MCO,63.92B,44.20,30.41,3.67,11.8,21.68,29.09,81.01,-34.70%,13.62%,3.70%,12.04%,5.40%,341.85,-1.85%,1242615
464,465,MDB,27.20B,-,181.86,-,19.9,33.65,14.29,1138.11,-5.90%,36.00%,-7.30%,-,50.50%,379.9,-1.43%,1613136
465,466,MDLZ,100.04B,25.69,21.13,2.99,3.04,3.56,52.19,109.34,-35.50%,9.36%,1.50%,8.58%,4.00%,73.57,0.15%,10878563
466,467,MDT,117.44B,29.31,16.36,16.56,3.82,2.31,10.55,191.59,44.20%,7.94%,5.20%,1.77%,1.30%,89.15,1.02%,9043743
467,468,MELI,61.45B,97.66,48.19,1.98,5.43,29.43,13.29,16.95,469.50%,39.78%,100.60%,49.40%,54.00%,1194.74,-2.37%,779212
468,469,MET,42.24B,30.31,6.07,3.22,0.61,1.34,2.29,3.64,-62.90%,17.72%,-8.70%,9.40%,2.30%,55.5,0.62%,10275175
469,470,META,722.25B,33.73,19.2,1.82,6.15,5.83,19.29,41.12,-33.60%,24.75%,8.20%,18.50%,23.50%,281.0,-0.29%,43001938
470,471,MFC,35.64B,8.68,5.37,1.17,1.7,1.15,2.51,3.07,3.90%,9.34%,30.30%,7.42%,-27.50%,18.99,-1.61%,4603642
471,472,MFG,38.60B,-,2.92,-,2.71,0.61,0.05,-,-118.00%,13.30%,-18.00%,6.60%,-0.90%,2.98,-0.67%,325976
472,473,MGA,16.24B,37.32,9.08,1.44,0.42,1.47,6.69,-,-59.30%,26.65%,-18.90%,26.00%,0.70%,56.99,0.41%,915195
473,474,MGM,15.91B,9.11,16.25,-,1.12,3.30,3.53,12.89,44.60%,19.27%,30.50%,-,4.00%,42.64,-2.47%,7900910
474,475,MKC,24.67B,37.56,32.01,5.08,3.86,5.10,69.15,449.41,-9.80%,10.08%,6.30%,7.40%,6.10%,92.65,0.73%,1712860
475,476,MKL,17.86B,64.65,15.07,6.47,1.4,1.37,4.43,7.64,-113.40%,17.13%,14.07%,10.00%,14.00%,1343.69,0.39%,53665
476,477,MKTX,10.56B,40.22,31.97,2.98,14.35,9.26,31.72,65.33,-1.80%,15.56%,9.60%,13.49%,12.80%,277.15,-1.09%,1206502
477,478,MLM,26.61B,27.58,23.08,1.44,4.23,3.69,116.01,87.51,22.20%,15.40%,13.80%,19.20%,9.20%,426.54,-0.68%,614593
478,479,MMC,89.31B,28.33,21.53,2.89,4.23,8.19,88.78,51.39,-1.40%,10.25%,10.00%,9.80%,8.10%,181.15,0.34%,2850674
479,480,MMM,57.27B,10.83,10.92,6.59,1.71,3.78,14.43,80.55,0.60%,10.82%,2.10%,1.65%,1.60%,104.54,0.70%,6192663
480,481,MMP,12.16B,12.81,11.37,4.13,3.58,7.29,1643.49,34.20,-3.40%,4.78%,1.50%,3.10%,5.00%,60.1,-0.13%,4657114
481,482,MNST,61.55B,38.89,32.69,1.51,9.48,8.26,20.14,55.69,-13.10%,16.10%,24.50%,25.68%,13.40%,58.45,-0.60%,7688721
482,483,MO,78.81B,14.16,8.49,4.13,3.16,-,20.14,60.02,138.70%,3.97%,-2.20%,3.42%,-0.40%,44.07,-0.18%,13649728
483,484,MOH,16.54B,18.93,12.01,1.24,0.51,4.86,1.98,13.50,20.40%,13.92%,29.60%,15.27%,10.00%,278.02,-2.04%,763075
484,485,MOS,11.72B,4.43,8.19,-,0.62,1.01,25.21,5.89,135.50%,-15.89%,58.70%,-,20.90%,35.82,1.53%,12257793
485,486,MPC,48.30B,3.43,8.86,-,0.28,1.87,4.22,3.39,-28.20%,-31.93%,49.30%,-,18.90%,113.29,-0.47%,10768231
486,487,MPLX,33.94B,8.72,8.86,1.15,3.03,2.88,86.36,25.46,32.10%,5.28%,29.00%,7.60%,24.60%,34.07,0.50%,4238976
487,488,MPWR,24.63B,53.61,37.48,2.14,13.19,13.76,26.84,143.69,79.10%,15.65%,27.50%,25.00%,30.70%,517.61,-0.32%,1110036
488,489,MRK,277.60B,21.33,12.85,2.61,4.8,5.93,26.73,67.02,17.40%,21.78%,25.60%,8.17%,8.10%,109.32,-0.07%,15830593
489,490,MRNA,49.55B,11.13,-,-,3.29,2.63,5.55,80.96,-29.00%,-121.80%,92.10%,-,147.90%,128.73,-0.96%,5496062
490,491,MRO,14.38B,5.77,6.15,-,1.8,1.30,80.81,4.30,338.00%,40.43%,48.30%,-8.79%,11.40%,23.5,0.90%,18394763
491,492,MRVL,53.35B,-,26.03,-,9.21,3.38,51.88,65.37,63.70%,53.06%,-17.40%,14.08%,19.70%,61.12,-1.47%,17815753
492,493,MS,148.72B,15.13,11.54,3.05,2.02,1.57,1.34,-,-23.40%,17.53%,10.50%,4.96%,8.60%,88.09,-1.08%,13141638
493,494,MSCI,39.04B,43.80,32.52,3.28,17.11,-,36.12,61.10,23.30%,14.28%,23.80%,13.36%,12.00%,477.73,-2.01%,628092
494,495,MSFT,2588.29B,37.10,31.27,3.07,12.47,13.09,24.79,68.06,19.80%,13.39%,24.30%,12.10%,15.50%,342.33,-1.66%,46393046
495,496,MSI,47.34B,35.04,22.56,3.45,5.04,200.18,46.32,54.86,10.60%,10.02%,12.40%,10.16%,7.40%,280.25,-0.72%,1302324
496,497,MT,24.04B,4.06,5.24,-,0.31,0.45,3.82,4.90,-24.60%,4.90%,17.90%,-,3.10%,28.12,-0.11%,1770252
497,498,MTB,20.70B,9.51,7.58,0.73,2.71,0.88,0.81,-,-16.40%,-2.36%,4.50%,13.03%,8.40%,123.16,-1.29%,2639862
498,499,MTCH,12.06B,40.74,17.23,1.04,3.79,-,20.85,33.28,37.10%,24.28%,-3.80%,39.06%,19.10%,42.25,-2.42%,5853503
499,500,MTD,29.43B,33.57,26.94,2.73,7.45,-,330.27,36.96,17.20%,11.92%,17.70%,12.30%,7.50%,1321.97,-1.07%,188749
500,501,MU,75.32B,48.61,112.58,-,3.27,1.56,6.96,-,50.70%,113.10%,11.90%,-,8.60%,67.66,-1.69%,32169642
501,502,MUFG,89.65B,10.58,10.50,1.41,2.37,0.68,0.08,-,2.60%,-8.30%,4.00%,7.50%,11.40%,6.93,-1.28%,1788033
502,503,NDAQ,25.65B,22.21,17.93,5.07,4.12,4.07,45.00,22.97,-3.80%,5.08%,12.40%,4.38%,9.50%,51.22,-2.01%,7413080
503,504,NDSN,13.48B,26.62,24.16,2.05,5.17,5.43,104.43,33.42,13.90%,8.47%,11.60%,13.00%,4.60%,237.11,0.22%,360292
504,505,NEE,150.46B,22.50,22.19,2.56,6.07,3.52,66.14,-,15.70%,9.48%,2.50%,8.80%,4.10%,75.59,1.65%,23040560
505,506,NEM,33.93B,-,15.55,-,2.93,1.8,9.68,-,-141.80%,15.39%,-20.00%,-,10.10%,43.83,2.65%,17156301
506,507,NET,23.32B,-,159.88,-,22.14,34.16,13.59,604.06,28.90%,25.15%,-,-,48.50%,67.63,-3.73%,4966284
507,508,NFLX,197.94B,50.84,30.14,2.39,6.2,8.81,25.29,67.47,-14.40%,28.76%,44.90%,21.32%,22.00%,431.96,-2.99%,8731801
508,509,NGG,48.18B,14.40,-,2.72,1.74,1.32,13.62,-,22.40%,-,4.70%,5.30%,7.30%,67.93,1.01%,609499
509,510,NI,11.29B,18.58,16.37,2.77,1.9,1.85,106.14,-,33.20%,6.63%,14.10%,6.70%,3.70%,27.38,0.15%,5454390
510,511,NICE,14.44B,52.28,23.39,4.36,6.49,4.59,8.57,36.71,33.70%,13.00%,17.10%,12.00%,10.40%,223.6,-2.20%,341950
511,512,NIMC,11.31B,65.70,-,-,1.9,6.82,-,-,-,-,-,-,-,101.24,0.21%,1706
512,513,NIO,16.52B,-,-,-,2.35,5.63,3.61,-,-32.30%,-,-3.80%,-,-,9.4,-3.98%,81068201
513,514,NKE,172.77B,32.77,28.54,3.83,3.41,12.07,15.99,94.51,5.50%,23.07%,8.40%,8.56%,6.30%,113.59,1.05%,14337878
514,515,NLY,10.32B,-,6.96,-,9.35,0.98,5.75,61.19,-38.60%,-1.20%,-6.50%,-4.98%,3.10%,20.59,-1.44%,10140555
515,516,NMR,12.42B,18.59,-,1.71,0.7,0.53,0.41,-,-34.30%,-,-13.60%,10.90%,4.70%,3.96,0.00%,1175594
516,517,NOC,68.77B,14.83,18.67,7.81,1.85,4.62,27.56,592.85,-27.70%,8.44%,11.90%,1.90%,7.10%,458.35,1.21%,1178360
517,518,NOK,24.07B,5.12,8.92,0.76,0.86,1.02,2.65,369.12,158.10%,11.60%,51.60%,6.72%,1.50%,4.28,0.94%,20144274
518,519,NOW,117.02B,288.22,47.73,11.46,15.36,20.54,23.81,54.68,41.00%,24.47%,34.10%,25.15%,30.40%,565.48,-1.55%,2086255
519,520,NSC,50.83B,17.25,15.59,3.15,3.92,4.01,92.09,41.09,14.50%,8.19%,14.20%,5.47%,3.90%,224.14,0.38%,1995668
520,521,NTAP,15.78B,12.84,11.93,1.62,2.48,13.72,5.14,36.19,41.50%,9.21%,10.40%,7.91%,1.50%,74.37,0.83%,3140499
521,522,NTES,63.30B,20.83,16.46,1.60,4.6,4.16,3.74,-,19.50%,7.70%,11.40%,13.03%,16.80%,98.45,0.32%,1372434
522,523,NTR,39.12B,3.57,9.66,-,0.81,0.9,20.08,6.65,157.00%,-7.59%,68.90%,-,15.80%,60.07,0.74%,2204887
523,524,NTRS,15.76B,12.71,11.15,1.42,1.91,1.45,3.27,997.43,-14.00%,5.41%,5.50%,8.92%,6.10%,74.71,-1.23%,1991273
524,525,NU,34.93B,-,27.62,-,6.31,6.79,8.36,55.85,-117.80%,70.62%,-,-,-,7.54,1.75%,22099888
525,526,NUE,37.98B,5.90,12.99,-,0.96,2.02,8.22,-,24.30%,-30.02%,52.00%,-7.50%,15.40%,151.41,0.15%,3177400
526,527,NVDA,1053.53B,221.89,41.11,10.47,40.71,42.99,68.77,223.96,-54.70%,33.53%,8.60%,21.20%,22.70%,426.92,0.09%,65402829
527,528,NVO,278.67B,40.84,28.65,14.59,10.07,30.9,68.30,-,17.80%,12.60%,9.70%,2.80%,9.60%,161.29,-0.76%,1051568
528,529,NVR,19.29B,12.59,14.90,-,1.85,5.05,6.89,10.37,53.40%,-1.45%,28.30%,-2.90%,10.80%,5990.38,0.76%,50762
529,530,NVS,228.43B,31.34,13.91,3.81,4.38,4.13,18.63,38.03,-70.20%,8.30%,0.00%,8.22%,3.60%,101.83,0.43%,2683278
530,531,NWG,29.31B,6.22,-,20.07,1.56,0.66,0.09,-,47.00%,-,39.80%,0.31%,2.80%,6.59,0.00%,1775795
531,532,NWS,11.27B,43.04,-,-,1.11,1.41,-,-,-,-,-,-,-,19.8,0.20%,1496592
532,533,NWSA,11.24B,42.73,24.28,-,1.11,1.39,6.77,39.43,89.10%,87.44%,23.10%,-2.38%,5.00%,19.57,0.31%,3908237
533,534,NXPI,50.85B,18.96,13.77,2.46,3.85,6.46,12.94,31.90,55.50%,7.79%,19.80%,7.70%,7.40%,197.85,1.07%,4512624
534,535,O,41.22B,43.08,42.57,1.90,11.84,1.39,250.43,-,63.90%,7.29%,5.20%,22.62%,22.40%,61.39,0.26%,18463207
535,536,OC,11.08B,8.85,10.75,6.70,1.14,2.33,14.63,13.99,33.10%,5.77%,31.10%,1.32%,8.90%,122.16,-0.62%,2378288
