,No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
686,687,TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA,13.52B,-,66.28,-0.48%,2521434
687,688,TCOM,Trip.com Group Limited,Consumer Cyclical,Travel Services,China,24.60B,30.03,36.0,0.39%,4066634
688,689,TD,The Toronto-Dominion Bank,Financial,Banks - Diversified,Canada,111.02B,10.22,61.16,0.30%,1978473
689,690,TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,USA,45.30B,49.04,815.89,-1.06%,402828
690,691,TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,USA,19.24B,25.71,406.43,-0.63%,371773
691,692,TEAM,Atlassian Corporation,Technology,Software - Application,Australia,46.82B,-,177.8,-2.41%,2681970
692,693,TECH,Bio-Techne Corporation,Healthcare,Biotechnology,USA,12.06B,46.97,78.49,2.45%,2738282
693,694,TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,Canada,22.47B,8.02,41.96,-3.05%,5793344
694,695,TEF,"Telefonica, S.A.",Communication Services,Telecom Services,Spain,23.00B,14.51,3.86,-3.26%,8259581
695,696,TEL,TE Connectivity Ltd.,Technology,Electronic Components,Switzerland,42.05B,20.48,135.65,1.66%,3289220
696,697,TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,USA,17.07B,29.23,111.06,0.88%,3380416
697,698,TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,42.91B,7.10,31.9,-0.99%,21743230
698,699,TFII,TFI International Inc.,Industrials,Trucking,Canada,12.04B,9.21,106.25,0.09%,497704
699,700,TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,USA,11.69B,32.89,252.4,1.45%,443037
700,701,TGT,Target Corporation,Consumer Defensive,Discount Stores,USA,63.62B,22.76,133.81,-2.92%,9828359
701,702,TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,USA,93.64B,25.05,81.26,-0.27%,8389040
702,703,TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,Indonesia,26.32B,19.50,26.71,-1.37%,191206
703,704,TM,Toyota Motor Corporation,Consumer Cyclical,Auto Manufacturers,Japan,270.25B,12.85,164.35,-2.28%,420417
704,705,TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,China,14.29B,21.64,8.03,-3.60%,12469524
705,706,TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,USA,206.40B,35.00,537.3,0.41%,3423931
706,707,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,USA,159.30B,39.19,130.93,-1.38%,13010625
707,708,TOST,"Toast, Inc.",Technology,Software - Infrastructure,USA,12.22B,-,21.71,-5.73%,10594518
708,709,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,USA,10.47B,24.10,1358.6,-0.26%,61981
709,710,TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,USA,10.07B,11.81,43.37,-0.16%,3637112
710,711,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,USA,16.25B,18.61,71.79,-0.17%,2758195
711,712,TRI,Thomson Reuters Corporation,Industrials,Specialty Business Services,Canada,60.44B,55.90,129.79,1.10%,477517
712,713,TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,USA,13.11B,28.06,52.67,-0.47%,1927766
713,714,TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,USA,25.76B,18.73,114.18,-0.44%,2841191
714,715,TRP,TC Energy Corporation,Energy,Oil & Gas Midstream,Canada,41.93B,33.41,40.59,-1.53%,3513223
715,716,TRU,TransUnion,Industrials,Consulting Services,USA,14.70B,56.96,75.47,-0.80%,2190130
716,717,TRV,"The Travelers Companies, Inc.",Financial,Insurance - Property & Casualty,USA,40.65B,15.06,176.75,0.44%,2317854
717,718,TS,Tenaris S.A.,Energy,Oil & Gas Equipment & Services,Luxembourg,16.65B,5.25,28.25,-0.88%,2825215
718,719,TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,USA,24.18B,22.53,218.93,-0.80%,1558121
719,720,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,811.08B,76.70,260.54,1.81%,167208920
720,721,TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,Taiwan,498.66B,16.29,104.57,-0.58%,11421795
721,722,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,17.86B,12.06,50.39,0.36%,4114947
722,723,TT,Trane Technologies plc,Industrials,Building Products & Equipment,Ireland,42.25B,23.97,187.06,0.98%,2099893
723,724,TTC,The Toro Company,Industrials,Tools & Accessories,USA,10.15B,19.88,97.43,-0.27%,1315737
724,725,TTD,"The Trade Desk, Inc.",Technology,Software - Application,USA,37.77B,534.48,76.43,-1.09%,2921283
725,726,TTE,TotalEnergies SE,Energy,Oil & Gas Integrated,France,146.97B,7.11,58.04,-1.17%,1517747
726,727,TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,USA,23.23B,-,138.64,1.05%,2375485
727,728,TU,TELUS Corporation,Communication Services,Telecom Services,Canada,27.43B,25.13,19.5,1.30%,2264683
728,729,TW,Tradeweb Markets Inc.,Financial,Capital Markets,USA,15.07B,47.26,70.79,-0.59%,1337179
729,730,TWLO,Twilio Inc.,Communication Services,Internet Content & Information,USA,12.52B,-,67.65,-0.62%,3283058
730,731,TXN,Texas Instruments Incorporated,Technology,Semiconductors,USA,161.64B,19.83,176.76,-0.75%,10168802
731,732,TXT,Textron Inc.,Industrials,Aerospace & Defense,USA,13.40B,16.42,66.64,0.32%,2970835
732,733,TYL,"Tyler Technologies, Inc.",Technology,Software - Application,USA,16.54B,107.60,393.8,-0.20%,776887
733,734,U,Unity Software Inc.,Technology,Software - Application,USA,15.78B,-,42.56,2.14%,32789081
734,735,UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,USA,17.57B,9.34,53.5,-0.15%,6804471
735,736,UBER,"Uber Technologies, Inc.",Technology,Software - Application,USA,87.75B,-,43.52,0.37%,27938167
736,737,UBS,UBS Group AG,Financial,Banks - Diversified,Switzerland,70.87B,10.43,20.41,-0.05%,2524973
737,738,UDR,"UDR, Inc.",Real Estate,REIT - Residential,USA,14.16B,142.36,43.42,0.91%,3777969
738,739,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,USA,10.38B,15.79,148.62,0.55%,1485098
739,740,UI,Ubiquiti Inc.,Technology,Communication Equipment,USA,11.30B,28.41,186.3,-0.40%,150837
740,741,UL,Unilever PLC,Consumer Defensive,Household & Personal Products,United Kingdom,128.12B,15.89,51.93,1.07%,2911364
741,742,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,USA,22.47B,18.22,447.91,-0.72%,1864711
742,743,UMC,United Microelectronics Corporation,Technology,Semiconductors,Taiwan,22.17B,8.08,8.75,-1.91%,9943340
743,744,UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,USA,433.76B,20.97,458.49,-1.59%,7653910
744,745,UNP,Union Pacific Corporation,Industrials,Railroads,USA,125.55B,18.09,204.67,-0.61%,4136995
745,746,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,USA,153.74B,14.43,178.58,-0.23%,8463807
746,747,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,USA,28.18B,12.93,403.09,-1.68%,1132909
747,748,USB,U.S. Bancorp,Financial,Banks - Regional,USA,51.03B,8.92,33.45,0.48%,30107769
748,749,UTHR,United Therapeutics Corporation,Healthcare,Biotechnology,USA,10.76B,15.5,230.26,0.29%,658765
749,750,V,Visa Inc.,Financial,Credit Services,USA,463.46B,30.57,228.91,1.21%,13291117
750,751,VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,Brazil,65.64B,4.37,14.44,-0.21%,20756653
751,752,VEEV,Veeva Systems Inc.,Healthcare,Health Information Services,USA,32.26B,55.65,200.05,-0.63%,1509124
752,753,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,USA,32.68B,22.76,32.34,-0.61%,7535957
753,754,VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,China,10.32B,11.13,17.79,-2.95%,6414563
754,755,VIV,Telefonica Brasil S.A.,Communication Services,Telecom Services,Brazil,15.25B,17.32,8.99,-2.07%,4340727
755,756,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,41.22B,3.25,114.21,0.16%,9936576
756,757,VMC,Vulcan Materials Company,Basic Materials,Building Materials,USA,27.80B,44.42,207.31,-0.78%,1258642
757,758,VMW,"VMware, Inc.",Technology,Software - Infrastructure,USA,61.27B,46.68,141.36,-0.72%,3006736
758,759,VOD,Vodafone Group Public Limited Company,Communication Services,Telecom Services,United Kingdom,25.24B,2.01,9.47,-0.11%,4151841
759,760,VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,USA,32.51B,48.16,224.52,-0.02%,4246538
760,761,VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,USA,23.39B,34.32,223.69,-0.45%,1050686
761,762,VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,USA,89.91B,27.71,347.89,-0.34%,2613300
762,763,VTR,"Ventas, Inc.",Real Estate,REIT - Healthcare Facilities,USA,18.45B,-,46.08,-0.11%,2974702
763,764,VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,11.92B,6.58,10.29,3.52%,23640566
764,765,VZ,Verizon Communications Inc.,Communication Services,Telecom Services,USA,153.19B,7.10,36.46,0.05%,36072184
765,766,WAB,Westinghouse Air Brake Technologies Corporation,Industrials,Railroads,USA,18.39B,28.84,103.64,1.37%,2174887
766,767,WAT,Waters Corporation,Healthcare,Diagnostics & Research,USA,15.83B,23.42,269.2,0.41%,1648333
767,768,WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,USA,27.63B,-,32.67,2.03%,16013422
768,769,WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,USA,31.99B,-,12.8,-2.51%,46108592
769,770,WCN,"Waste Connections, Inc.",Industrials,Waste Management,Canada,35.39B,41.58,137.54,0.08%,934625
770,771,WDAY,"Workday, Inc.",Technology,Software - Application,USA,58.41B,-,222.4,-0.85%,3312226
771,772,WDC,Western Digital Corporation,Technology,Computer Hardware,USA,13.14B,-,40.47,-1.48%,5538206
772,773,WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,Australia,46.58B,5.63,24.73,2.91%,1078992
773,774,WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,USA,28.89B,21.41,91.43,-0.16%,1965530
774,775,WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,USA,39.84B,335.04,80.41,0.32%,11636337
775,776,WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,USA,10.43B,9.79,27.15,0.11%,2806118
776,777,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,158.94B,12.04,42.18,-0.42%,36399112
777,778,WIT,Wipro Limited,Technology,Information Technology Services,India,26.02B,18.46,4.67,-0.64%,3247138
778,779,WLK,Westlake Corporation,Basic Materials,Specialty Chemicals,USA,14.77B,7.89,114.7,-0.85%,676610
779,780,WM,"Waste Management, Inc.",Industrials,Waste Management,USA,66.80B,30.18,165.03,0.51%,2417208
780,781,WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,USA,37.24B,14.41,30.53,-0.13%,14128112
781,782,WMG,Warner Music Group Corp.,Communication Services,Entertainment,USA,13.86B,33.20,27.16,1.12%,2024042
782,783,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,USA,424.74B,37.49,155.53,-1.39%,11531691
783,784,WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,USA,15.03B,19.79,70.34,0.13%,1728071
784,785,WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,Canada,20.22B,32.59,44.87,0.43%,3414523
785,786,WPP,WPP plc,Communication Services,Advertising Agencies,United Kingdom,11.84B,14.34,56.31,0.88%,345666
786,787,WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,USA,15.23B,15.24,59.28,1.51%,3783795
787,788,WSO,"Watsco, Inc.",Industrials,Industrial Distribution,USA,16.21B,23.90,366.58,-0.17%,461141
788,789,WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,USA,26.71B,50.16,362.04,0.62%,1129299
789,790,WTRG,"Essential Utilities, Inc.",Utilities,Utilities - Regulated Water,USA,11.01B,24.34,41.43,-0.50%,2128171
790,791,WTW,Willis Towers Watson Public Limited Company,Financial,Insurance Brokers,United Kingdom,24.76B,22.56,235.0,1.00%,1719948
791,792,WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,USA,22.53B,18.28,31.0,0.78%,15280621
792,793,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,USA,11.90B,-,103.73,-0.80%,2265369
793,794,XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,USA,35.40B,19.77,63.92,-0.62%,6368672
794,795,XM,Qualtrics International Inc.,Technology,Software - Application,USA,10.95B,-,18.07,0.11%,4475947
795,796,XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,USA,428.11B,7.12,105.13,-0.72%,43103014
796,797,XP,XP Inc.,Financial,Capital Markets,Cayman Islands,12.25B,16.93,22.13,1.24%,4860742
797,798,XPEV,XPeng Inc.,Consumer Cyclical,Auto Manufacturers,China,10.01B,-,11.38,-1.81%,17459063
798,799,XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,USA,27.13B,55.23,113.44,0.09%,3473229
799,800,YPF,YPF Sociedad Anonima,Energy,Oil & Gas Integrated,Argentina,10.74B,4.42,14.55,8.18%,4696623
800,801,YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,USA,38.99B,32.51,138.58,-0.45%,3747820
801,802,YUMC,"Yum China Holdings, Inc.",Consumer Cyclical,Restaurants,China,24.70B,39.87,59.4,0.44%,2503321
802,803,Z,"Zillow Group, Inc.",Communication Services,Internet Content & Information,USA,10.87B,-,46.68,-3.07%,10275926
803,804,ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,USA,29.74B,67.43,144.1,1.07%,2812522
804,805,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,USA,14.63B,35.94,282.4,-0.76%,636690
805,806,ZG,"Zillow Group, Inc.",Communication Services,Internet Content & Information,USA,11.21B,-,45.76,-2.95%,432473
806,807,ZI,ZoomInfo Technologies Inc.,Technology,Software - Application,USA,11.43B,106.85,26.82,-5.56%,58345498
807,808,ZM,"Zoom Video Communications, Inc.",Technology,Software - Application,USA,20.81B,-,70.06,0.17%,4728349
808,809,ZS,"Zscaler, Inc.",Technology,Software - Infrastructure,USA,23.10B,-,154.01,-2.73%,3207002
809,810,ZTO,ZTO Express (Cayman) Inc.,Industrials,Integrated Freight & Logistics,China,22.85B,21.39,27.46,-1.79%,5890676
810,811,ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,USA,79.22B,38.56,170.74,-0.40%,3285481
